Month,vacation: (Stany Zjednoczone)
2004-01,97
2004-02,87
2004-03,84
2004-04,78
2004-05,85
2004-06,94
2004-07,97
2004-08,78
2004-09,60
2004-10,58
2004-11,62
2004-12,66
2005-01,100
2005-02,90
2005-03,88
2005-04,77
2005-05,79
2005-06,91
2005-07,88
2005-08,72
2005-09,53
2005-10,52
2005-11,54
2005-12,59
2006-01,87
2006-02,79
2006-03,78
2006-04,69
2006-05,75
2006-06,82
2006-07,88
2006-08,67
2006-09,55
2006-10,54
2006-11,54
2006-12,61
2007-01,87
2007-02,80
2007-03,78
2007-04,74
2007-05,75
2007-06,86
2007-07,85
2007-08,69
2007-09,54
2007-10,52
2007-11,53
2007-12,54
2008-01,84
2008-02,74
2008-03,76
2008-04,68
2008-05,72
2008-06,80
2008-07,79
2008-08,61
2008-09,46
2008-10,45
2008-11,45
2008-12,51
2009-01,76
2009-02,68
2009-03,70
2009-04,64
2009-05,65
2009-06,81
2009-07,81
2009-08,65
2009-09,47
2009-10,45
2009-11,46
2009-12,56
2010-01,77
2010-02,67
2010-03,66
2010-04,60
2010-05,68
2010-06,80
2010-07,68
2010-08,54
2010-09,39
2010-10,37
2010-11,38
2010-12,46
2011-01,68
2011-02,63
2011-03,62
2011-04,56
2011-05,59
2011-06,73
2011-07,70
2011-08,58
2011-09,42
2011-10,39
2011-11,39
2011-12,49
2012-01,61
2012-02,56
2012-03,56
2012-04,53
2012-05,56
2012-06,66
2012-07,62
2012-08,49
2012-09,38
2012-10,34
2012-11,35
2012-12,49
2013-01,59
2013-02,53
2013-03,53
2013-04,48
2013-05,55
2013-06,59
2013-07,61
2013-08,47
2013-09,37
2013-10,34
2013-11,37
2013-12,49
2014-01,59
2014-02,54
2014-03,53
2014-04,48
2014-05,52
2014-06,63
2014-07,65
2014-08,49
2014-09,38
2014-10,32
2014-11,37
2014-12,50
2015-01,55
2015-02,52
2015-03,54
2015-04,49
2015-05,53
2015-06,63
2015-07,74
2015-08,67
2015-09,43
2015-10,39
2015-11,44
2015-12,54
2016-01,57
2016-02,52
2016-03,56
2016-04,51
2016-05,55
2016-06,61
2016-07,61
2016-08,48
2016-09,38
2016-10,37
2016-11,39
2016-12,54
2017-01,57
2017-02,57
2017-03,53
2017-04,51
2017-05,55
2017-06,62
2017-07,62
2017-08,47
2017-09,39
2017-10,38
2017-11,42
2017-12,55
2018-01,52
2018-02,52
2018-03,53
2018-04,54
2018-05,51
2018-06,60
2018-07,60
2018-08,50
2018-09,40
2018-10,36
2018-11,41
2018-12,54
2019-01,52
2019-02,49
2019-03,50
2019-04,44
2019-05,47
2019-06,55
2019-07,56
2019-08,43
2019-09,37
2019-10,36
2019-11,42
2019-12,60
2020-01,54
2020-02,49
2020-03,33
2020-04,25
2020-05,39
2020-06,55
2020-07,47
2020-08,43
2020-09,35
2020-10,32
2020-11,37
2020-12,54
2021-01,42
2021-02,46
2021-03,55
2021-04,54
2021-05,58
2021-06,61
2021-07,59
2021-08,47
2021-09,43
2021-10,40
2021-11,46
2021-12,59
2022-01,53
2022-02,53
2022-03,50
2022-04,47
2022-05,47
2022-06,55
2022-07,56
2022-08,48
2022-09,38
2022-10,35
2022-11,41
2022-12,55
2023-01,50
2023-02,44
2023-03,47
2023-04,41
2023-05,44
2023-06,49
2023-07,53
2023-08,45
2023-09,34
2023-10,32
2023-11,40
2023-12,53
2024-01,44
2024-02,40
2024-03,40
